,i,RAC,return,actions,Actual Path,ground_truth
27,27,135.2777655649873,22.63511348096946,"[22, 4, 37]","[0, 19, 20, 21, 22]","[  0.          -1.51776689   6.19075662   7.91997098  22.34056478
  -2.17357669  -7.17105304   4.85663945   8.21056548  24.34107317
  22.37794641  15.06971776 -11.22278352 -10.07683654  24.52366465
 -21.21826047 -11.01932335  -5.82486694  -1.18697297  -2.55173534
  -5.45853174   9.17457569  23.47080487 -16.70618123  15.04904358
 -24.26749471   4.19917036 -52.43381122  28.92247085 -35.81684608
  -3.4118561   17.19134113  51.43735556  -7.73520123   3.26044813
   9.12653206  -4.21614414]"
28,28,162.08286397870168,63.15906869440151,"[22, 4, 5, 37]","[0, 1, 2, 7, 5, 4]","[  0.           8.34560026  -2.64279962 -19.35669859   5.91884253
  60.58479957  13.47481776  -6.04737404  -8.38641804 -10.35462502
  10.14031455 -99.38815944 -13.02839736 -17.75469152   4.68571654
  49.57599435 -26.013371    -5.32429852  -2.69359885   2.10370264
  -0.95286326 -15.39752196 -22.04694404   7.07235786  29.48224762
  13.87725284  -8.1553033    7.75360908   4.26148023 -12.58307694
 -13.99425711   0.5298828   18.68215687  58.39488539 -63.15508466
  19.04532867  -3.01229721]"
29,29,156.69236182301555,127.91879005189296,"[22, 4, 5, 37]","[0, 1, 2, 7, 5, 4]","[  0.           3.53016048  19.15984703 -42.83510991  71.90568902
  18.68290462  30.66890127  17.6401889    8.08750659 -18.94329695
  -5.16153736 -25.23441756 -28.76845672   6.52204946  19.69891211
 -45.77625615  15.4734579    8.5316979   10.53230638  -0.98932765
  -2.48400297  34.27635787 -32.82794835  53.8990384   13.72877373
 -17.91350177  21.18251309  -5.72195587   9.72915266 -24.75901072
  32.75699956  -0.5811961  -36.7388055  -31.1401278   33.32800918
  -0.88575529   2.77197565]"
30,30,167.7427223629994,27.71638050030713,"[22, 4, 5, 6, 37]","[0, 1, 2, 7, 5, 4]","[ 0.00000000e+00  7.63952676e+00 -9.70710938e+00  9.41119232e+00
 -1.00696716e+01  1.21517274e+01 -6.90384971e+01  3.17019074e+01
  1.34296593e+00 -2.21371093e+01  6.31290220e+01  4.29991771e+00
 -1.52809565e+01 -7.75188509e+00  2.76769433e+01  3.04154034e+01
 -1.14258206e+01  1.07673495e+01 -1.04194832e+01  4.68890855e+00
 -5.77799619e-02 -9.34957934e+00 -5.07618359e+01  4.25792837e+01
 -1.16134704e+02  3.23378075e+01  1.42550989e+01 -1.32951024e+01
  3.94007144e+01 -6.80186106e+01 -2.20028761e+01 -1.31564409e+01
  1.62100182e+01 -4.17911350e+01 -2.75691749e+01 -1.70551373e+01
  5.56736054e+00]"
31,31,106.37316800000002,253.1279115633135,"[22, 23, 37]","[0, 19, 20, 21, 22]","[ 0.00000000e+00 -1.66684334e+00  8.10919856e-01 -1.58205390e+01
 -2.18599671e+01 -3.05278737e+01 -3.10848098e+01  3.69871305e+01
 -7.05600311e+00 -1.72084067e+00  1.15173320e+01 -5.25546086e+00
 -1.96548830e+01 -9.18791287e+00  2.39886898e+01 -1.36549697e+01
 -7.03442924e+01  1.02234940e+00 -2.85964496e+00 -3.50283021e+00
 -9.35106242e+00  3.06897199e+01  2.37292084e+02 -1.74050533e+01
 -5.38207582e+00 -4.19129482e+00 -7.66850154e+00  7.99408715e-01
  2.44711187e+01 -1.05530125e+01  1.03455950e+01  6.86706359e+00
  2.20091172e+01 -3.68446228e+00 -1.66667602e+01 -4.39635871e+00
 -8.87780450e-02]"
32,32,123.6641109395083,87.88670194004769,"[22, 4, 37]","[0, 1, 2, 3, 4]","[ 0.00000000e+00  4.91851717e+00  5.80922831e+00  1.40568882e+00
  7.77532676e+01  2.32783498e+01  5.88716211e+01  3.32636202e+01
 -2.61177121e+00 -1.37735363e+01 -2.77969305e+01  7.76169384e+01
  3.61083038e+01  4.56313852e+00 -1.14962408e+01  4.56722014e+00
  6.05432308e+01  7.02263681e+00 -4.44666070e-01  4.58477114e+00
  5.05645125e+00 -1.63054222e+01  4.66981141e+01 -1.69984988e+01
  1.58492608e+00 -1.05592784e+01 -5.10303679e+00 -1.77657030e+01
  4.35049894e+01  2.69356905e+01 -2.13463407e+01  1.21804998e+01
  6.72742510e+01 -3.32901361e+01 -1.36139352e+01 -3.71714309e+01
  4.11532800e-03]"
33,33,127.36884998646491,2.3707118918044685,"[22, 5, 6, 37]","[0, 1, 2, 7, 5, 4]","[   0.           -8.01490278  -15.35217871  -11.4080179   -21.67283012
   10.19497203   -5.97799748   40.21565147   -0.96784158    8.44403321
   -9.01846254  -25.51772373   -0.32572607   10.44216778  -21.69760657
  -88.23699309  -38.04876021   16.65946375   -5.00104083    1.71731372
   15.46030263   13.80161891 -245.50240367   13.37867319  -25.658347
   -4.44993488  -12.30374401    4.11696484   32.8548562   -19.75121557
  -28.17587031  -12.16323814   34.68598104   -8.27159447  -29.32754304
   15.48325818   -3.8868811 ]"
34,34,173.90138730172788,74.09007672007122,"[22, 4, 23, 24, 37]","[0, 19, 20, 25, 23, 22]","[  0.          -3.73659091 -15.61176995  -9.28506244 -35.2062344
 -51.25967507  11.57196959  19.6005701    4.77924222   9.01636267
  30.09773798 -20.42287175 -14.11504274  -4.24317252  -4.64324252
  72.60561905 -83.78997464  20.71912227  -7.17070331  -1.39114349
   0.5951449  -26.16624273  -0.15435625  50.44187715  -7.45295996
  28.59855441  -7.91101977  -5.9547844   38.47798387 -42.81762675
 -24.10936429   6.4403071    1.13844323  56.74184443 -45.71779279
   4.31639095   4.62803201]"
35,35,143.6391692478424,16.16683512427833,"[22, 4, 37]","[0, 19, 20, 21, 22]","[ 0.00000000e+00 -2.06796091e+00 -7.66026008e+00 -1.84825333e+01
 -1.42159783e+02  3.22102395e+01  4.59544704e+01  2.33885679e+01
 -8.02009284e+00  1.44495528e+01  2.11948145e+00 -4.72608064e+01
 -1.35230232e+01 -1.66226591e+00  9.34870383e+00  1.33487644e+01
 -3.39863129e+01  1.37365510e+00  9.29098663e-02  6.57766543e+00
  1.16477456e+01 -6.80657342e+00  6.74799750e+00  9.03514603e+00
 -1.50248167e+01  1.10662660e+01 -1.37090403e+01  1.96528667e+01
  1.15479540e+01 -6.38924228e+01 -6.74090575e+00 -8.16794936e+00
  2.15938488e+01  1.71664684e+01 -4.99225284e+01 -1.36427117e+01
  2.17456413e+00]"
36,36,114.34217077085593,47.55888781634434,"[22, 4, 37]","[0, 19, 20, 21, 22]","[  0.           7.60549593  -5.11876245  23.00389271 -59.07168066
 -30.75061007 -13.40036664   1.85998887 -13.77553112   4.55833933
 -23.60658519 -51.87759562 -31.96117588  -2.97409012 -29.03115898
  -7.99447168 -22.10982518  39.16919539  -8.52416955   4.56714519
  -6.91922222 -13.43102962  65.34199446  89.49147411   6.27046796
 -32.40385323  -4.9595839  -20.44352598 -87.8853951  -10.10572266
 -21.24920999  18.42721846 -10.37566654 -43.81522665  56.60775008
  -1.66428934  -6.51579712]"
37,37,157.0655236811534,186.31035961432715,"[22, 4, 5, 37]","[0, 1, 2, 7, 5, 4]","[  0.           3.37154033   3.46647026 -26.00692342 151.85118789
  39.59294822  11.10723589  -8.97178709   9.61966244 -16.55157278
  21.38628261  49.13544755  10.39184667  -0.63354819  -0.69586715
   1.82262188  57.92100527  37.87011066   2.01516152   0.96213044
  -3.0369305  -17.19542786 -32.08162464 -82.76591715 -28.40524944
  12.43100596  12.21486258 -34.32906481 -15.83401914  50.95103098
  -0.19336245  -1.38041128   8.88328451 -81.88269757  -9.04250576
  32.55907116  -3.96539018]"
38,38,122.1926304491539,132.13046346779643,"[22, 4, 37]","[0, 1, 2, 3, 4]","[ 0.00000000e+00 -1.61561676e+00  1.27746415e+00  5.59545824e+00
  1.28873158e+02  6.50118525e+01 -1.87676161e+01 -2.49880060e+01
 -2.60425238e+00 -2.95100806e+00 -1.92073050e+01 -6.83370127e+01
  2.20376587e+01 -5.00898769e-01  5.08388131e+01  4.83856938e+01
  7.75630078e+01 -5.94421394e+00  6.60456515e+00  9.86795523e-02
  4.86422051e+00 -3.73366097e+01  4.96410751e+01  5.67687148e+00
 -1.84785425e+00  8.52326126e+00  6.46361068e+00  1.69420003e+01
  7.59572786e+00  2.79727269e+01 -1.34329418e+01 -7.51860520e+00
  3.15856338e+01 -2.39303933e+01  8.42572303e+01 -2.43896445e+01
  1.07977745e+00]"
39,39,105.93187832225176,105.715288309389,"[22, 5, 4, 37]","[0, 1, 2, 7, 5, 4]","[   0.            1.10560521   -1.45327307    2.46398337   60.60269739
   96.91080058  -76.66434163  -48.4505418     6.46294218    4.03001273
   -6.2685273    30.88183056  -27.15219842    7.0171738    21.0664932
   10.79627688  -38.83417088   20.95763575    6.09590501   -0.25839991
  -11.08271712    6.626026   -163.41161886    4.55118737   22.40043755
   39.16053598   20.63526313   11.61992396   40.04027304   21.51090914
  -18.48166298  -26.61530453   15.7356004    19.91413355   10.38090201
  -17.86536219   -4.87891324]"
40,40,145.10956084845796,0.5462440473853754,"[22, 4, 37]","[0, 19, 20, 21, 22]","[   0.           -0.63068207   -6.84606359   18.57429497 -184.44010341
  -18.68009696   91.69961373    9.77620109    7.10266991   21.11068886
    2.16292401   10.31813665   11.76563299    8.85244239  -20.34014048
   -5.34772125  -17.52742005    9.86886989   -0.9950456    -6.37491804
    2.93494154    2.17900624    3.8072143    50.90559452   42.85791598
    8.31636024   15.50679231   -6.22757834  -55.16959629   54.85635147
    0.55423305   -3.20399577  -16.9234081   -17.33715678  -53.48138015
    4.18344341   -7.12160651]"
