,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,TestEnv,HighRiskClicks
225,60,0,1,10,-130.0,3,1,0
226,60,0,2,35,-80.0,3,2,0
227,60,0,3,85,-70.0,2,3,0
228,60,0,4,90,-70.0,2,4,0
229,60,0,5,-1475,-115.0,4,5,0
230,62,1,1,15,15.0,6,1,3
231,62,1,2,-15,-15.0,4,2,2
232,62,1,3,50,60.0,4,3,2
233,62,1,4,70,55.0,2,4,1
234,62,1,5,-35,-35.0,6,5,3
235,63,3,1,-65,-220.0,14,1,0
236,63,3,2,-40,-35.0,14,2,4
237,63,3,3,-170,-170.0,28,3,4
238,63,3,4,-185,-170.0,26,4,4
239,63,3,5,-170,-175.0,21,5,4
240,64,3,1,-175,-175.0,24,1,3
241,64,3,2,-175,-175.0,28,2,4
242,64,3,3,-75,-65.0,18,3,4
243,64,3,4,-55,-55.0,16,4,4
244,64,3,5,-85,-85.0,11,5,4
245,65,0,1,-35,-175.0,11,1,0
246,65,0,2,15,-135.0,9,2,0
247,65,0,3,55,-100.0,6,3,0
248,65,0,4,50,-90.0,5,4,0
249,65,0,5,-1490,-145.0,7,5,0
250,66,1,1,45,-85.0,1,1,0
251,66,1,2,85,-70.0,2,2,0
252,66,1,3,95,-110.0,1,3,0
253,66,1,4,75,-100.0,0,4,0
254,66,1,5,-40,-120.0,2,5,0
260,68,1,1,50,55.0,2,1,1
261,68,1,2,75,80.0,2,2,1
262,68,1,3,70,60.0,4,3,2
263,68,1,4,80,55.0,2,4,1
264,68,1,5,-20,-35.0,6,5,2
265,69,0,1,45,-120.0,2,1,0
266,69,0,2,80,-80.0,3,2,0
267,69,0,3,85,-70.0,2,3,0
268,69,0,4,65,60.0,4,4,2
269,69,0,5,-1450,-130.0,3,5,0
270,70,3,1,-1625,-250.0,18,1,0
271,70,3,2,-35,-35.0,14,2,1
272,70,3,3,-60,-60.0,17,3,3
273,70,3,4,-40,-45.0,16,4,2
274,70,3,5,-130,-130.0,18,5,2
275,72,1,1,30,35.0,4,1,1
276,72,1,2,55,-90.0,4,2,0
277,72,1,3,70,-75.0,3,3,0
278,72,1,4,45,-95.0,2,4,0
279,72,1,5,-1450,-115.0,4,5,0
280,73,2,1,45,45.0,3,1,1
281,73,2,2,65,70.0,3,2,1
282,73,2,3,-1490,-115.0,4,3,1
283,73,2,4,35,40.0,6,4,1
284,73,2,5,-30,-45.0,7,5,2
290,76,0,1,-20,30.0,2,1,2
291,76,0,2,35,-110.0,1,2,1
292,76,0,3,85,30.0,2,3,2
293,76,0,4,60,40.0,1,4,1
294,76,0,5,30,40.0,1,5,1
295,77,3,1,45,-120.0,2,1,0
296,77,3,2,55,60.0,4,2,1
297,77,3,3,-1475,-105.0,4,3,0
298,77,3,4,15,10.0,4,4,2
299,77,3,5,-45,-45.0,7,5,3
300,78,0,1,-1460,-145.0,2,1,0
301,78,0,2,25,-110.0,1,2,1
302,78,0,3,70,80.0,2,3,1
303,78,0,4,75,55.0,2,4,1
304,78,0,5,0,5.0,2,5,1
305,79,2,1,35,-130.0,3,1,0
306,79,2,2,70,-80.0,3,2,0
307,79,2,3,95,-70.0,2,3,0
308,79,2,4,80,-60.0,1,4,0
309,79,2,5,-1465,-130.0,3,5,0
315,81,3,1,-75,-65.0,15,1,1
316,81,3,2,15,-125.0,9,2,0
317,81,3,3,-1650,-285.0,21,3,0
318,81,3,4,-10,-10.0,13,4,4
319,81,3,5,-1475,-125.0,7,5,0
320,82,1,1,-55,-65.0,7,1,2
321,82,1,2,-10,-25.0,6,2,2
322,82,1,3,65,75.0,4,3,1
323,82,1,4,30,45.0,4,4,1
324,82,1,5,-40,-45.0,7,5,2
325,83,0,1,-1490,-145.0,5,1,0
326,83,0,2,45,5.0,5,2,4
327,83,0,3,-5,-60.0,12,3,4
328,83,0,4,-20,-55.0,11,4,2
329,83,0,5,-10,5.0,7,5,1
330,85,3,1,-355,-355.0,43,1,4
331,85,3,2,-40,-40.0,15,2,3
332,85,3,3,-5,-5.0,12,3,1
333,85,3,4,-10,-10.0,10,4,1
334,85,3,5,-70,-70.0,12,5,2
335,86,1,1,15,25.0,5,1,1
336,86,1,2,30,20.0,8,2,3
337,86,1,3,45,40.0,7,3,1
338,86,1,4,75,60.0,4,4,1
339,86,1,5,-40,-35.0,6,5,2
340,87,0,1,-1540,-155.0,6,1,0
341,87,0,2,-45,-35.0,10,2,2
342,87,0,3,80,-120.0,3,3,0
343,87,0,4,65,-110.0,3,4,0
344,87,0,5,5,-115.0,3,5,0
345,88,2,1,0,-115.0,4,1,0
346,88,2,2,75,-80.0,3,2,0
347,88,2,3,85,-60.0,1,3,0
348,88,2,4,35,-95.0,2,4,0
349,88,2,5,-1445,-115.0,4,5,0
350,89,3,1,-135,-120.0,21,1,4
351,89,3,2,-170,-170.0,28,2,4
352,89,3,3,-225,-225.0,33,3,4
353,89,3,4,-60,-60.0,18,4,4
354,89,3,5,-130,-130.0,19,5,4
360,94,3,1,-15,-120.0,2,1,0
361,94,3,2,25,40.0,1,2,1
362,94,3,3,80,40.0,1,3,1
363,94,3,4,45,-85.0,1,4,0
364,94,3,5,10,-110.0,1,5,0
365,96,1,1,50,-95.0,2,1,0
366,96,1,2,80,-70.0,2,2,0
367,96,1,3,105,-60.0,1,3,0
368,96,1,4,50,-95.0,2,4,0
369,96,1,5,-1415,-100.0,0,5,0
370,97,2,1,5,-120.0,5,1,0
371,97,2,2,45,-95.0,5,2,0
372,97,2,3,85,-70.0,3,3,0
373,97,2,4,45,-105.0,4,4,0
374,97,2,5,-1445,-95.0,4,5,0
375,99,1,1,-1475,-155.0,3,1,0
376,99,1,2,-1530,-170.0,5,2,0
377,99,1,3,5,5.0,10,3,1
378,99,1,4,-30,-15.0,10,4,2
