,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,TestEnv,HighRiskClicks,GoalStrategy,ClickAgreement,GoalAgreement,SubgoalAgreement,TermAgreement,GoalTermAgreement,SubgoalTermAgreement
327,83,0,3,-1500,-140.0,6,3,0,False,0.14285714285714285,1.0,0.0,0.8571428571428571,1.0,0.6
328,83,0,4,50,-95.0,4,4,0,True,0.2,0.5,0.0,0.8,0.5,0.5
329,83,0,5,-1445,-105.0,3,5,0,False,0.25,0.3333333333333333,,0.75,0.3333333333333333,
330,84,0,1,-85,-85.0,16,1,4,False,0.11764705882352941,0.25,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.875
331,84,0,2,-65,-60.0,16,2,3,False,0.29411764705882354,0.75,0.25,0.5416666666666666,0.75,0.3333333333333333
332,84,0,3,-45,-175.0,13,3,1,True,0.21428571428571427,0.5,0.1111111111111111,0.5833333333333334,0.6666666666666666,0.35
333,84,0,4,-25,-170.0,11,4,0,True,0.08333333333333333,0.5,0.0,0.9166666666666666,0.5,0.5555555555555556
334,84,0,5,-1515,-175.0,11,5,0,True,0.25,0.75,0.0,0.9166666666666666,0.75,0.8571428571428571
335,86,0,1,15,25.0,5,1,1,True,0.8333333333333334,1.0,0.5,0.75,1.0,0.5
336,86,0,2,85,80.0,2,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
337,86,0,3,90,80.0,2,3,1,True,1.0,1.0,1.0,1.0,1.0,1.0
338,86,0,4,80,-60.0,1,4,0,False,0.5,1.0,,0.5,1.0,
339,86,0,5,20,-145.0,2,5,0,False,0.6666666666666666,1.0,,0.6666666666666666,0.5,
340,87,1,1,-45,-140.0,4,1,2,True,0.6,1.0,1.0,1.0,0.5,1.0
341,87,1,2,45,40.0,6,2,3,True,0.42857142857142855,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0
342,87,1,3,50,40.0,6,3,3,True,0.42857142857142855,0.3333333333333333,1.0,0.6,1.0,1.0
343,87,1,4,55,-100.0,5,4,2,True,0.5,0.3333333333333333,1.0,0.625,1.0,1.0
344,87,1,5,5,-100.0,0,5,0,False,0.0,,,0.0,,
345,88,1,1,20,-125.0,5,1,0,True,0.16666666666666666,0.25,0.0,0.8333333333333334,0.25,0.0
346,88,1,2,15,-105.0,6,2,0,True,0.14285714285714285,0.3333333333333333,0.0,0.8571428571428571,0.3333333333333333,0.6666666666666666
347,88,1,3,95,-70.0,2,3,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
348,88,1,4,75,-75.0,3,4,0,True,0.25,1.0,0.0,0.75,1.0,0.5
349,88,1,5,-1475,-115.0,4,5,0,False,0.6,0.75,,0.8,0.75,
350,89,0,1,-105,-95.0,10,1,3,False,0.2727272727272727,0.6666666666666666,0.42857142857142855,0.5625,0.75,0.7142857142857143
351,89,0,2,10,10.0,9,2,3,True,0.5,1.0,0.5,0.5833333333333334,1.0,0.8333333333333334
352,89,0,3,15,20.0,8,3,4,False,0.2222222222222222,0.25,1.0,0.6,0.5,1.0
353,89,0,4,40,15.0,6,4,2,True,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
354,89,0,5,-25,-35.0,6,5,3,False,0.5714285714285714,1.0,1.0,0.6666666666666666,1.0,1.0
355,90,0,1,-10,-110.0,1,1,0,False,0.0,,0.0,0.5,,0.0
356,90,0,2,-1505,-110.0,1,2,0,False,0.0,,0.0,0.5,,0.0
357,90,0,3,-1465,-130.0,3,3,1,False,0.25,,0.3333333333333333,0.6666666666666666,,0.25
358,90,0,4,90,-100.0,0,4,0,False,0.0,,,0.0,,
359,90,0,5,40,-100.0,0,5,0,False,0.0,,,0.0,,
360,91,0,1,15,15.0,6,1,4,False,0.14285714285714285,0.0,0.8,0.6,1.0,0.5
361,91,0,2,40,40.0,6,2,4,False,0.42857142857142855,1.0,1.0,0.625,1.0,1.0
362,91,0,3,70,80.0,2,3,1,True,1.0,1.0,1.0,1.0,1.0,1.0
363,91,0,4,30,40.0,6,4,4,False,0.14285714285714285,0.0,0.8,0.6666666666666666,0.0,1.0
364,91,0,5,-60,-205.0,8,5,3,False,0.1111111111111111,0.0,0.6,0.5714285714285714,0.3333333333333333,0.875
365,92,1,1,-50,-130.0,3,1,0,False,0.75,1.0,,0.75,1.0,
366,92,1,2,60,-90.0,4,2,1,True,0.6,1.0,1.0,0.8,0.75,1.0
367,92,1,3,45,50.0,5,3,2,False,0.8333333333333334,1.0,0.6666666666666666,1.0,1.0,0.5
368,92,1,4,80,80.0,2,4,1,False,0.3333333333333333,0.0,1.0,0.75,1.0,1.0
369,92,1,5,-20,-15.0,4,5,2,False,0.2,0.0,1.0,0.625,1.0,1.0
375,94,0,1,-145,-145.0,22,1,4,False,0.08695652173913043,0.25,0.2222222222222222,0.5294117647058824,0.25,0.3035714285714286
376,94,0,2,80,80.0,2,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
377,94,0,3,65,-80.0,4,3,0,True,0.2,0.5,0.0,0.8,0.5,0.5
378,94,0,4,30,40.0,6,4,1,True,0.42857142857142855,0.25,0.5,0.75,0.25,0.5
379,94,0,5,-1475,-130.0,6,5,0,True,0.42857142857142855,0.75,0.0,0.8571428571428571,0.75,0.5
385,96,0,1,-420,-420.0,49,1,4,False,0.04,0.25,0.08888888888888889,0.5142857142857142,0.5,0.5700000000000001
386,96,0,2,80,-120.0,2,2,2,False,0.3333333333333333,,1.0,0.75,,1.0
387,96,0,3,90,80.0,2,3,1,True,1.0,1.0,1.0,1.0,1.0,1.0
388,96,0,4,85,-70.0,2,4,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
